N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"77,200","1,100",+1.45%,100,"4,608,672","5,969,783",51.88,"15,656,562",16.26,9.99,
2,SK하이닉스,"107,000","3,000",+2.88%,"5,000","778,963","728,002",46.71,"3,282,623",13.39,9.53,
3,NAVER,"403,000","1,000",+0.25%,100,"661,981","164,263",56.59,"544,846",4.01,15.22,
4,삼성바이오로직스,"933,000","17,000",+1.86%,"2,500","617,319","66,165",10.59,"70,952",184.39,N/A,
5,삼성전자우,"71,800",300,+0.42%,100,"590,833","822,887",75.26,"1,056,833",15.12,N/A,
6,카카오,"119,500","2,000",-1.65%,100,"531,766","444,992",30.46,"4,730,045",111.37,2.70,
7,삼성SDI,"725,000",0,0.00%,"5,000","498,543","68,765",44.81,"258,258",53.72,4.54,
8,LG화학,"701,000","15,000",-2.09%,"5,000","494,852","70,592",46.28,"334,143",18.88,2.93,
9,현대차,"209,000","1,000",+0.48%,"5,000","446,567","213,668",28.62,"693,211",15.14,2.04,
10,셀트리온,"275,500","8,500",+3.18%,"1,000","380,010","137,935",20.74,"574,309",64.60,16.68,
11,기아,"84,100",400,-0.47%,"5,000","340,911","405,363",34.60,"1,417,299",9.82,5.05,
12,카카오뱅크,"68,000",900,+1.34%,"5,000","323,068","475,100",5.21,"2,426,479",220.06,5.08,
13,POSCO,"362,500","2,000",-0.55%,"5,000","316,052","87,187",55.22,"460,925",8.20,3.61,
14,현대모비스,"267,500","3,000",-1.11%,"5,000","253,572","94,793",35.32,"278,450",11.48,4.66,
15,삼성물산,"129,500","1,000",+0.78%,100,"242,019","186,887",15.09,"294,269",14.77,3.81,
16,크래프톤,"493,500","1,500",+0.30%,100,"241,575","48,951",5.94,"236,013",42.49,61.86,
17,LG전자,"139,500","1,500",-1.06%,"5,000","228,289","163,648",30.73,"782,516",16.88,13.23,
18,SK이노베이션,"240,000","3,000",+1.27%,"5,000","221,917","92,466",23.10,"562,988",-49.72,-13.58,
19,SK텔레콤,"301,000","1,000",-0.33%,500,"216,901","72,060",44.43,"259,892",11.43,6.44,
20,KB금융,"52,100",0,0.00%,"5,000","216,636","415,808",67.56,"903,290",5.14,8.53,
21,LG생활건강,"1,358,000","25,000",-1.81%,"5,000","212,095","15,618",45.19,"43,499",28.51,17.92,
22,SK바이오사이언스,"272,500","7,500",-2.68%,500,"208,462","76,500",5.09,"1,566,139",132.73,13.25,
23,신한지주,"38,700",50,-0.13%,"5,000","199,924","516,600",60.34,"1,068,507",5.01,8.20,
24,SK,"273,500","2,000",+0.74%,200,"192,435","70,360",19.44,"313,297",17.65,1.11,
25,SK아이이테크놀로지,"224,500","1,500",+0.67%,"1,000","160,063","71,298",9.57,"270,861",147.60,11.00,
26,한국전력,"24,500",250,+1.03%,"5,000","157,281","641,964",15.00,"2,375,953",13.19,2.91,
27,HMM,"38,550",600,+1.58%,"5,000","156,279","405,392",9.51,"5,451,193",24.41,8.93,
28,LG,"94,600",200,-0.21%,"5,000","148,807","157,301",33.47,"202,998",5.93,7.50,
29,삼성생명,"72,800",300,-0.41%,500,"145,600","200,000",13.00,"283,801",8.31,3.53,
30,삼성전기,"178,500","1,000",-0.56%,"5,000","133,328","74,694",32.88,"358,538",15.56,10.92,
31,하나금융지주,"44,400",350,-0.78%,"5,000","133,307","300,242",68.15,"879,199",4.38,8.96,
32,삼성에스디에스,"168,000","1,000",+0.60%,500,"129,995","77,378",11.62,"110,307",20.18,6.71,
33,엔씨소프트,"587,000","2,000",-0.34%,500,"128,870","21,954",46.23,"194,645",31.51,20.83,
34,포스코케미칼,"161,000","2,000",-1.23%,500,"124,716","77,463",7.99,"425,564",116.33,2.96,
35,대한항공,"32,950",850,+2.65%,"5,000","114,607","347,821",11.78,"5,105,025",17.15,-7.22,
36,S-Oil,"101,500",0,0.00%,"2,500","114,272","112,583",78.09,"284,508",13.05,-13.07,
37,두산중공업,"21,650",200,-0.92%,"5,000","111,715","516,006",9.78,"8,138,947",-51.43,-37.20,
38,KT&G,"81,100",200,-0.25%,"5,000","111,344","137,292",37.12,"428,283",10.05,13.22,
39,아모레퍼시픽,"190,000","1,000",-0.52%,500,"111,136","58,493",32.24,"402,649",88.17,0.78,
40,하이브,"276,500",0,0.00%,500,"107,976","39,051",16.58,"223,554",98.36,12.52,
41,삼성화재,"227,500",500,+0.22%,500,"107,778","47,375",48.84,"100,861",10.78,4.96,
42,넷마블,"122,000",0,0.00%,100,"104,863","85,954",22.62,"217,359",36.65,6.35,
43,현대중공업,"111,500",500,+0.45%,"5,000","98,982","88,773",3.93,"17,280,148",-10.07,-7.86,
44,고려아연,"518,000","6,000",-1.15%,"5,000","97,747","18,870",19.81,"49,334",13.52,8.37,
45,롯데케미칼,"263,000","2,500",-0.94%,"5,000","90,144","34,275",26.66,"187,675",7.54,1.22,
46,SK바이오팜,"113,500",500,-0.44%,500,"88,886","78,313",6.56,"151,794",-150.13,-135.18,
47,한온시스템,"16,150",100,+0.62%,100,"86,209","533,800",18.13,"728,379",29.63,5.09,
48,KT,"32,550",50,+0.15%,"5,000","84,992","261,112",44.12,"549,211",9.29,4.76,
49,한화솔루션,"42,100",100,-0.24%,"5,000","80,528","191,278",17.68,"902,719",10.44,5.30,
50,우리금융지주,"11,050",50,+0.45%,"5,000","80,451","728,061",28.29,"2,159,916",3.86,5.87,
51,기업은행,"10,200",50,+0.49%,"5,000","75,919","744,301",12.88,"969,127",4.28,6.44,
52,한국조선해양,"105,500","13,000",-10.97%,"5,000","74,666","70,773",18.81,"1,922,288",-4.82,-7.42,
53,LG디스플레이,"20,000",200,+1.01%,"5,000","71,563","357,816",16.44,"3,742,151",6.02,-0.79,
54,현대제철,"51,500",100,-0.19%,"5,000","68,725","133,446",21.20,"738,059",28.45,-2.59,
55,현대글로비스,"178,500",0,0.00%,500,"66,938","37,500",34.64,"126,977",9.93,12.45,
56,SKC,"175,500","1,000",+0.57%,"5,000","66,459","37,868",13.66,"328,224",152.61,2.21,
57,CJ제일제당,"431,000","1,500",+0.35%,"5,000","64,884","15,054",24.52,"42,801",15.02,13.50,
58,LG유플러스,"14,550",0,0.00%,"5,000","63,527","436,611",33.44,"1,069,026",10.97,6.46,
59,현대건설,"56,200",500,+0.90%,"5,000","62,582","111,356",21.45,"606,975",50.72,1.84,
60,금호석유,"202,000","6,500",-3.12%,"5,000","61,545","30,468",20.93,"282,755",4.78,20.18,
61,강원랜드,"28,350",150,+0.53%,500,"60,652","213,940",19.47,"1,000,839",-64.43,-7.92,
62,코웨이,"80,100",0,0.00%,500,"59,113","73,800",59.93,"260,468",13.88,31.51,
63,미래에셋증권,"9,080",400,+4.61%,"5,000","57,687","635,316",14.00,"4,420,292",6.89,8.94,
64,한국타이어앤테크놀로지,"45,050",50,-0.11%,500,"55,806","123,875",41.79,"357,503",9.04,5.12,
65,F&F,"712,000","11,000",-1.52%,500,"54,549","7,661",11.55,"45,926",N/A,N/A,
66,삼성엔지니어링,"27,200",250,+0.93%,"5,000","53,312","196,000",34.41,"4,452,226",16.88,17.32,
67,KODEX 200,"41,070",105,+0.26%,0,"52,405","127,600",3.64,"2,463,552",N/A,N/A,
68,현대중공업지주,"65,300","4,500",-6.45%,"1,000","51,582","78,993",17.75,"913,404",-15.08,-8.12,
69,LG이노텍,"216,000","7,000",+3.35%,"5,000","51,121","23,667",28.30,"315,650",9.35,10.20,
70,맥쿼리인프라,"12,600",50,+0.40%,0,"51,011","404,846",14.48,"613,665",N/A,N/A,
71,한국금융지주,"90,500","2,400",+2.72%,"5,000","50,432","55,726",35.01,"349,604",4.30,16.27,
72,에스디바이오센서,"48,250","1,150",+2.44%,500,"49,828","103,271",2.60,"937,030",7.31,139.97,
73,오리온,"126,000","1,000",+0.80%,500,"49,816","39,536",39.49,"110,141",20.67,15.50,
74,메리츠금융지주,"37,150",550,+1.50%,500,"49,785","134,011",8.23,"258,074",8.05,16.06,
75,이마트,"174,500","2,000",+1.16%,"5,000","48,643","27,876",35.09,"176,549",8.61,4.05,
76,한미사이언스,"69,700",400,-0.57%,500,"46,911","67,305",1.44,"107,766",153.52,3.47,
77,유한양행,"64,500",300,-0.46%,"1,000","45,133","69,973",17.87,"316,670",46.91,11.06,
78,삼성증권,"49,400",500,+1.02%,"5,000","44,114","89,300",30.13,"255,970",4.83,9.89,
79,아모레G,"53,100",500,+0.95%,500,"43,785","82,458",16.87,"194,636",33.82,0.31,
80,DB손해보험,"60,800",600,-0.98%,500,"43,046","70,800",42.92,"175,561",6.24,9.08,
81,두산밥캣,"42,300",800,+1.93%,500,"42,405","100,249",25.65,"246,777",11.13,6.15,
82,쌍용C&E,"8,350",110,-1.30%,100,"42,072","503,860",3.80,"992,102",26.94,7.92,
83,녹십자,"358,500","6,500",-1.78%,"5,000","41,896","11,687",21.52,"65,212",44.82,7.48,
84,한진칼,"62,500",200,-0.32%,"2,500","41,712","66,739",14.96,"140,979",-42.66,-19.55,
85,KCC,"454,000","4,000",-0.87%,"5,000","40,345","8,886",13.31,"48,078",4.73,12.79,
86,GS,"43,050",550,-1.26%,"5,000","40,000","92,915",19.31,"354,778",4.90,-2.82,
87,팬오션,"7,480",80,+1.08%,"1,000","39,986","534,570",11.95,"5,341,871",22.94,3.25,
88,GS건설,"46,150",50,+0.11%,"5,000","39,496","85,581",26.60,"741,765",12.18,7.68,
89,삼성카드,"33,800",300,-0.88%,"5,000","39,160","115,859",8.22,"139,848",8.54,5.69,
90,삼성중공업,"6,150",90,-1.44%,"1,000","38,745","630,000",14.50,"5,901,715",-2.70,-33.06,
91,CJ대한통운,"169,000","1,000",+0.60%,"5,000","38,553","22,812",23.05,"34,678",110.75,3.89,
92,한국가스공사,"41,500",850,-2.01%,"5,000","38,310","92,313",7.06,"854,162",15.20,-2.24,
